basename,F_1,P,R
ABP_S_Otterskirchen_016_0197,0.8798,0.8589,0.9017
BHIC_5117-089-0009,0.8802,0.8402,0.9241
ABP_M_Otterskirchen_013-01_0145,0.8802,0.8242,0.9442
ABP_RM_Freyung_014-02_0004,0.8804,0.8147,0.9577
StAM_00000297,0.8808,0.8158,0.957
UCL_41_038_001,0.8809,0.8553,0.9082
BHIC_5117-093-0015,0.8809,0.8803,0.8815
BHIC_5117-078-0017,0.8811,0.8582,0.9052
UCL_069_097_004,0.8811,0.8032,0.9759
Bohisto_HS_83_501_object_110957,0.8814,0.8023,0.9779
ABP_T_Freyung_006-01_0025,0.8815,0.7904,0.9963
BHIC_5117-080-0001,0.882,0.799,0.9843
BHIC_5117-085-0027,0.8821,0.8156,0.9604
UCL_002_614_001,0.8826,0.8385,0.9315
BHIC_5117-080-0009,0.8828,0.8931,0.8728
UCL_079_142_1,0.8829,0.8184,0.9584
StAM_00000027,0.8834,0.7925,0.9977
Bohisto_HS_95_561_object_188606,0.8836,0.8347,0.9385
BHIC_5117-087-0029,0.8837,0.8493,0.921
BHIC_5117-080-0017,0.8837,0.8775,0.89
